                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.42557,                 0.6546,                0.88276,                 0.6496,                0.44444,                0.39992,                 0.2679,                 1.2876,                 6.5518,                 1.8072,               0.000948,               0.000948,               0.000948
                     36,                 0.4155,                0.69468,                0.88845,                 0.6496,                0.44444,                0.39992,                 0.2679,                 1.2876,                 6.5518,                 1.8072,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.4086,                0.73791,                0.90047,                0.26461,                0.60855,                0.57723,                0.42546,                0.75482,                 7.8296,                 1.2822,              0.0009197,              0.0009197,              0.0009197
                     38,                0.54614,                   0.82,                 0.9309,                0.44701,                0.76576,                0.54309,                0.49109,                0.60528,                 3.3952,                0.94082,             0.00090556,             0.00090556,             0.00090556
                     39,                0.42057,                0.68041,                0.87323,                0.69676,                0.77778,                0.69049,                0.64214,                0.44357,                 1.6088,                0.87918,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.3536,                0.86721,                0.89671,                0.69676,                0.77778,                0.69049,                0.64214,                0.44357,                 1.6088,                0.87918,             0.00087726,             0.00087726,             0.00087726
                     41,                0.35761,                0.64963,                0.87632,                0.46575,                0.77504,                0.62551,                0.56994,                0.41481,                 1.6828,                0.87288,             0.00086312,             0.00086312,             0.00086312
                     42,                0.35799,                0.56836,                0.87586,                0.42696,                0.77778,                0.67188,                0.60424,                0.41156,                 1.6962,                0.86416,             0.00084897,             0.00084897,             0.00084897
                     43,                0.26057,                 3.3244,                 0.5811,                 0.8223,                0.59871,                0.79071,                0.69677,                0.44031,                 1.4941,                0.88497,             0.00083482,             0.00083482,             0.00083482
                     44,                0.41599,                0.66897,                0.86985,                 0.8223,                0.59871,                0.79071,                0.69677,                0.44031,                 1.4941,                0.88497,             0.00082067,             0.00082067,             0.00082067
                     45,                0.38935,                0.71229,                 0.8846,                0.69417,                0.86741,                  0.834,                0.77387,                0.43539,                 1.2183,                0.91182,             0.00080653,             0.00080653,             0.00080653
                     46,                0.44557,                0.82517,                0.89768,                0.68908,                 0.7788,                0.85971,                0.80442,                0.42294,                 1.1184,                0.91569,             0.00079238,             0.00079238,             0.00079238
                     47,                0.37641,                0.74995,                0.84655,                0.86503,                0.79575,                 0.8982,                0.84934,                0.44501,                 1.1341,                0.92589,             0.00077823,             0.00077823,             0.00077823
                     48,                 0.4559,                0.58589,                 0.8631,                0.86503,                0.79575,                 0.8982,                0.84934,                0.44501,                 1.1341,                0.92589,             0.00076409,             0.00076409,             0.00076409
                     49,                0.42633,                0.69984,                0.90423,                0.88535,                0.80246,                0.89722,                0.86086,                0.40853,                 1.0522,                0.92112,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.4291,                0.79454,                0.86742,                0.90658,                0.79314,                0.86536,                  0.831,                0.43884,                 1.0941,                0.93423,             0.00073579,             0.00073579,             0.00073579
                     51,                0.27074,                 1.6162,                0.58748,                0.79639,                0.83998,                0.83111,                0.76247,                0.50354,                 1.1337,                0.99402,             0.00072164,             0.00072164,             0.00072164
                     52,                0.41453,                 0.5486,                0.81826,                0.79639,                0.83998,                0.83111,                0.76247,                0.50354,                 1.1337,                0.99402,              0.0007075,              0.0007075,              0.0007075
                     53,                0.43198,                0.61067,                0.88717,                0.80697,                0.55556,                0.66971,                0.57784,                0.58068,                 1.1541,                 1.1275,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.3936,                0.54835,                0.84706,                0.46426,                0.55105,                0.58974,                0.56503,                0.56475,                 1.8538,                 1.2409,              0.0006792,              0.0006792,              0.0006792
                     55,                0.26701,                 1.6419,                0.57984,                0.41709,                0.33333,                0.44405,                0.40276,                0.71885,                 2.5618,                 1.2902,             0.00066506,             0.00066506,             0.00066506
                     56,                0.41159,                0.59253,                0.93983,                0.41709,                0.33333,                0.44405,                0.40276,                0.71885,                 2.5618,                 1.2902,             0.00065091,             0.00065091,             0.00065091
                     57,                0.43185,                0.62765,                0.87957,                0.31258,                0.73523,                0.36615,                0.31413,                0.86396,                 2.8314,                 1.2816,             0.00063676,             0.00063676,             0.00063676
                     58,                0.45154,                0.67986,                0.90224,                0.40633,                0.66667,                0.56617,                0.49545,                0.57864,                 1.5392,                0.97578,             0.00062262,             0.00062262,             0.00062262
                     59,                0.42069,                0.55536,                0.84046,                0.45755,                0.66667,                0.64905,                0.56964,                0.55779,                   1.87,                0.97744,             0.00060847,             0.00060847,             0.00060847
                     60,                0.42707,                0.65249,                0.86579,                0.45755,                0.66667,                0.64905,                0.56964,                0.55779,                   1.87,                0.97744,             0.00059432,             0.00059432,             0.00059432
                     61,                0.47258,                0.86285,                0.89944,                0.72288,                0.55556,                 0.6361,                0.51299,                0.55329,                 2.0178,                0.98778,             0.00058017,             0.00058017,             0.00058017
                     62,                0.42819,                0.83849,                0.86556,                0.74999,                0.60538,                0.68288,                0.57635,                0.50966,                 2.0506,                0.94103,             0.00056603,             0.00056603,             0.00056603
                     63,                0.41924,                 0.7031,                0.89082,                0.75705,                0.77778,                0.83393,                0.73964,                0.48346,                  1.187,                0.90756,             0.00055188,             0.00055188,             0.00055188
                     64,                0.39453,                0.47231,                 0.8877,                0.75705,                0.77778,                0.83393,                0.73964,                0.48346,                  1.187,                0.90756,             0.00053773,             0.00053773,             0.00053773
                     65,                0.39372,                0.47917,                0.87621,                0.88918,                0.76514,                0.88958,                0.81049,                 0.4358,                0.96085,                0.87449,             0.00052359,             0.00052359,             0.00052359
                     66,                0.32966,                0.41565,                0.87016,                0.93074,                0.81467,                0.92167,                0.86122,                 0.4199,                0.82332,                 0.8482,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.3057,                0.71325,                0.83922,                0.91488,                 0.8741,                   0.94,                0.88568,                0.39559,                0.76857,                0.84159,             0.00049529,             0.00049529,             0.00049529
                     68,                0.34061,                0.48046,                0.86927,                0.91488,                 0.8741,                   0.94,                0.88568,                0.39559,                0.76857,                0.84159,             0.00048114,             0.00048114,             0.00048114
                     69,                0.31016,                0.83566,                0.84971,                0.95287,                0.88184,                 0.9675,                0.90401,                 0.3696,                0.73049,                0.83523,               0.000467,               0.000467,               0.000467
                     70,                0.33999,                0.52148,                0.89567,                0.97441,                0.88543,                  0.951,                0.88858,                0.33878,                0.67911,                0.83482,             0.00045285,             0.00045285,             0.00045285
                     71,                0.32682,                0.83979,                0.85959,                0.84298,                0.98376,                 0.9675,                0.92909,                0.32107,                0.65653,                 0.8265,              0.0004387,              0.0004387,              0.0004387
                     72,                0.31298,                0.42725,                0.84648,                0.84298,                0.98376,                 0.9675,                0.92909,                0.32107,                0.65653,                 0.8265,             0.00042456,             0.00042456,             0.00042456
                     73,                0.34175,                0.66214,                0.85691,                0.79759,                      1,                   0.94,                0.90159,                0.31934,                 0.6559,                0.82556,             0.00041041,             0.00041041,             0.00041041
                     74,                0.32661,                 0.4523,                0.89092,                0.87992,                0.98261,                   0.94,                 0.8928,                0.32321,                0.67507,                0.83129,             0.00039626,             0.00039626,             0.00039626
                     75,                0.30003,                 0.4359,                0.86565,                0.89411,                0.86993,                0.88458,                0.83276,                0.32833,                 0.7667,                 0.8378,             0.00038211,             0.00038211,             0.00038211
                     76,                0.58033,                 0.5697,                 1.2108,                0.89411,                0.86993,                0.88458,                0.83276,                0.32833,                 0.7667,                 0.8378,             0.00036797,             0.00036797,             0.00036797
                     77,                  1.713,                 2.8752,                 1.4426,                0.65578,                      1,                0.79644,                0.75905,                0.33114,                0.76881,                 0.8426,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.3469,                0.52686,                0.84618,                0.82126,                 0.6889,                0.82214,                0.76966,                0.32138,                0.81099,                0.84331,             0.00033967,             0.00033967,             0.00033967
                     79,                0.19384,                0.58748,                0.56529,                0.66152,                0.66667,                0.81625,                0.78196,                0.31631,                0.98013,                 0.8479,             0.00032553,             0.00032553,             0.00032553
                     80,                0.28083,                0.37107,                0.86207,                0.66152,                0.66667,                0.81625,                0.78196,                0.31631,                0.98013,                 0.8479,             0.00031138,             0.00031138,             0.00031138
                     81,                0.25237,                0.48916,                0.83157,                0.52612,                0.66667,                0.75767,                  0.736,                0.30661,                 1.1914,                0.85739,             0.00029723,             0.00029723,             0.00029723
                     82,                0.27859,                 0.3911,                0.87887,                0.45661,                0.77778,                0.70919,                0.70919,                0.29602,                 1.4068,                0.86808,             0.00028308,             0.00028308,             0.00028308
                     83,                0.28063,                0.37417,                0.84297,                0.45348,                0.65151,                0.70443,                0.70443,                0.30748,                 1.5865,                0.87692,             0.00026894,             0.00026894,             0.00026894
                     84,                0.27972,                0.48401,                0.84209,                0.45348,                0.65151,                0.70443,                0.70443,                0.30748,                 1.5865,                0.87692,             0.00025479,             0.00025479,             0.00025479
                     85,                0.36889,                0.88692,                0.90519,                0.46673,                0.73034,                0.77552,                0.77552,                0.30815,                 1.5536,                0.88187,             0.00024064,             0.00024064,             0.00024064
                     86,                  0.244,                0.31711,                0.80758,                0.49921,                0.66667,                0.82972,                0.82972,                0.30802,                 1.3082,                0.88455,              0.0002265,              0.0002265,              0.0002265
                     87,                0.29116,                0.36214,                0.84224,                0.86741,                0.81279,                0.92167,                0.92167,                0.31033,                0.85649,                0.87464,             0.00021235,             0.00021235,             0.00021235
                     88,                0.27512,                0.37258,                0.84855,                0.86741,                0.81279,                0.92167,                0.92167,                0.31033,                0.85649,                0.87464,              0.0001982,              0.0001982,              0.0001982
                     89,                0.22218,                0.27524,                0.83158,                0.89725,                 0.8227,                  0.995,                  0.995,                0.30889,                0.64214,                0.86149,             0.00018406,             0.00018406,             0.00018406
                     90,                0.22825,                0.42721,                0.82864,                 0.9676,                0.80684,                  0.995,                  0.995,                  0.293,                 0.5819,                0.84158,             0.00016991,             0.00016991,             0.00016991
                     91,                0.20809,                0.30301,                0.79416,                0.97382,                0.80441,                 0.9675,                 0.9675,                0.28746,                0.64862,                 0.8332,             0.00015576,             0.00015576,             0.00015576
                     92,                0.21822,                 0.2798,                  0.806,                0.97382,                0.80441,                 0.9675,                 0.9675,                0.28746,                0.64862,                 0.8332,             0.00014161,             0.00014161,             0.00014161
                     93,                0.19902,                0.26945,                 0.8044,                0.99143,                0.78601,                 0.9675,                0.95956,                0.27568,                0.65082,                0.82833,             0.00012747,             0.00012747,             0.00012747
                     94,                0.23314,                0.50336,                0.82993,                0.84742,                0.84687,                 0.9235,                0.91724,                0.26258,                0.64585,                0.82481,             0.00011332,             0.00011332,             0.00011332
                     95,                0.35218,                0.77952,                0.94858,                0.85114,                0.84414,                   0.94,                 0.9321,                0.25742,                0.65452,                0.82206,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.22344,                0.29154,                0.79703,                0.85114,                0.84414,                   0.94,                 0.9321,                0.25742,                0.65452,                0.82206,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.20206,                0.26916,                0.80084,                0.86048,                0.83691,                 0.9125,                0.90739,                0.25578,                 0.6577,                0.82112,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.20085,                0.32225,                0.77946,                0.86774,                 0.8313,                 0.9125,                 0.9125,                  0.251,                0.64235,                0.82045,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                  0.212,                0.31133,                0.83376,                0.86246,                0.83612,                 0.9125,                 0.9125,                0.25064,                0.61896,                0.82132,             4.2584e-05,             4.2584e-05,             4.2584e-05
